text,label
Trailer late ah parthavanga like podunga,0
Move pathutu vanthu trailer pakurvnga yaru,0
Puthupetai dhanush  ah yarellam pathinga,0
"Dhanush oda character ,puthu sa erukay , mass ta",0
vera level ippa pesungada mokka nu thalaivaaaaaa,0
Thala mass . U1 bgm.     Vera level,0
ivara pathta death vadi madiri irukku,1
0:28 90's kids reference  Maadila irunthu kudicha Shakthiman kaapathvaaru,0
Aiyoo thala mass pannita thala,0
ENPT ku kaathu kadanthathellam oru nimishathula poiruchu,2
When Pandey gets up  Vandumurugan : IM SPEAKING.. NO CROSS SPEAKING... SITTT DOWNNN,1
Remake of Malayalam Mohanlal movie Devadoodhan,1
Tharamaana sirappaana sambavam inimeal ta paaka pora....,0
Viswasam trailer paathutu Inka vanthavanga like panuga,3
Maran  kattu kattitamnue verithanam thalivaaàa,0
Ella trailer la last la oru Mass dialouge vaichikuringaaa paaaa,0
Eppa Saamy thala padathula Vera director pera...pakurathu evalo periya santhosama iruku.....,0
En thalaivan vijaysethubathi kaga matume na padam papan matha entha p..... illa,2
Kanithan + mugamoodi Neenga nambalainalum ithan nesam,0
Enakku iru mugan trailer gnabagam than varuthu,0
ARE YOU EXPECTING HAPPY DEEPAVALI FORCE DIALOGUE IN 2.0 MOVIE,0
Sakthimaan fans like Sivakarthikeyen fans comment,2
rajini and akshay fans hit like,2
1 hour 1 million likes,0
Raww vana padama iruku  all the best,0
Thalaiva.. full Support from kerala Mohanlal Fans,3
En da.. trailer layae ivlo slow motion nah.. padathula paathi duration slow motion layae mudichirpeenga polayae,1
Thalaiva ungala screen pakkum pothey ippadiiii erukinga na  Nerla partha yappidiiii erupinga Oru murai tharisanam kedaikumaaaa,0
Rajini ah vida akshay mass ah irukane,1
Thala koda compare panna yarukum thakuthi kidaiyathu mind it,0
Marana mass marana style marna gethu mass trailer rajinified,0
Paruthiveeran Karthi Back  Lokesh Kangaraj Screenplay,3
Diwali annante aniyan ullaltha  Step back bigil,2
Dialogue pundaiye puriyala. Otha theatre la nacham sound seri pannungada.,1
Poda mokka moonjI unna pathale siriputhan varuthu super herovaam adutha mugamoodiii,1
dei kelthu kuthi ajith ivanya yaru nadika sona🤢🤢🤢,1
Yaaru ivanaa... INDHA Kosu Asoorana dei ennada Unga Rasana....,1
"Namma kitte kaadu iruntha,eduthukuvanga Namma kitte roopa iruntha, pudukiku vaanga Padippu mattum namma kitte irundhu eduthukave mudiyathu  Superb lines",0
Ethukkuda ivlo actors hypo....thalaivar padamna avar matumtha  irukanum...,0
Thlaiavaa... Thalaivaa... Thaliava... Thalaivaa.... Thalaivaa...,0
epdi like pottavan Eallarum seathupogada,2
சுயமாக சிந்திக்க தெரிஞ்சவன் தான் சூப்பர் ஹீரோ' - 100% true in the age information abundance and mass distractions.,0
Supper dhanush Anna mass waiting asuran,0
Vera lvl thalaiva u r great,0
Mobile main mera phek dunga iPhone x BARNA aisa problem hoga,1
Sala kuch smjh nhi aaya pr mja aaya,4
Ellam avan sayal movie mathiriya irukku🤔,2
Boss you looking so handsome ND young kekaa,0
Pattaya kelapitey Siva!!!  Awesome!!!,2
Dahaaaaaaa chitii come back I am waiting get ready to 2.0,2
"Boni kapoor sir ini entha update illama ethum release panathinga sir,  intha chinna pasanga tholla thanga mudiyala",2
"Looks thrilling, thala get up super as lawyer , dai pandey neeya da",0
Neenga enna vena kathukonga aana Hollywood padathukku dubbing mattum kathukathinga,1
Ena da nadakuthu inga.. Epaaa sathiyamaa edir pakatha trailer.. TOTALLY UNIMAGINABLE TRAILER. THALIVAR,0
1:43  Thala da    By thalapathy fan,0
Sun picture best or Vijay TV best sp best na dislike pannuga Vijay TV best na like pannuga,0
Hey Makkalay yaaru Darbar Motion Poster announcementku apram vantheenga,3
Last dialoge thala fans ungalukkuta Iam Vijay fan trailer super,0
Hollywood range la iruku padam Kandipa blockbuster hit! Semma story....,2
But ore oru varutham ennana Sunday release pannirukkalam yesterday aavathu announcement pannirukkalam,0
Semmma style... rajini sir is back...,0
My Dear Thala ahhhhhhhhhhhhhh semma GETHU,0
Idduke ₹500 va tarlam... kolla mass,2
Movie savadi vera level poo..thalaivar thalaivar thaa..mass,0
Super thalaiva .Semma mass. Intha movie blockbuster thaan. FDFS poravanga like pannunga.,0
92k views 132k likes  Fraud,2
3 minute trailor vida thil irukkaa....bollywood la panranga....tamila mudiyuma???????,0
Dai ranjit nee idha parthu film eduka kathuko,0
Trailer fast ah podu Ana Background la main bgm illaye Fyt Ku Varadhinga Da Unmaiya tha slura,0
Superb  Vivek Mervin pinnitinga ponga... Ungalukagave padam pakanum,0
Viswasam likes aa pathu payainthu vainthavainga yar yar like pothathu.....,0
1:36 *thaa enna look-u daa saami  That bgm lit,0
Guyzz 1m likes vara varaikum vitraadheenga...,0
Padaiyatchi nu sonna mattum ungalukku jaathi veri nagi reddi settiyar mudaliar nu sonna adhu jaathi veri illaya,3
Velraj sir thalaivana masss a kamchirukaru vera level u,0
U1 kaga paakuradha illa sk kaaga verukuradhane therila but mithran + u1 kaaga kandipa paakanum,2
Iam vijay fan kerala and iam waiting super star's petta,0
Oh my god .. it's rajini for you,2
0:52 thala looka apdiyae vechurkaru pa.  Without audio la paata thalaikum ivrukkum vityasam teriyathu,0
